iso3,country_name,cluster_id,iso_num
AUS,Australia,0,36
AUT,Austria,0,40
BEL,Belgium,0,56
CAN,Canada,0,124
DEU,Germany,0,276
DNK,Denmark,0,208
ESP,Spain,0,724
FIN,Finland,0,246
FRA,France,0,250
GBR,United Kingdom,0,826
GRC,Greece,0,300
ISL,Iceland,0,352
ISR,Israel,0,376
ITA,Italy,0,380
JPN,Japan,0,392
LUX,Luxembourg,0,442
NLD,Netherlands,0,528
NOR,Norway,0,578
NZL,New Zealand,0,554
PRT,Portugal,0,620
SVN,Slovenia,0,705
SWE,Sweden,0,752
CHE,Switzerland,1,756
CHL,Chile,1,152
COL,Colombia,1,170
CRI,Costa Rica,1,188
CZE,Czechia,1,203
EST,Estonia,1,233
HUN,Hungary,1,348
IRL,Ireland,1,372
KOR,"Korea, Rep.",1,410
LTU,Lithuania,1,440
LVA,Latvia,1,428
MEX,Mexico,1,484
POL,Poland,1,616
SVK,Slovak Republic,1,703
TUR,Turkiye,1,792
USA,United States,2,840
