iso3,country_name,gov_cons_gdp
AUS,Australia,19.82132723056356
AUT,Austria,19.64379051411992
BEL,Belgium,23.264465438781677
CAN,Canada,20.79482509825286
CHE,Switzerland,11.436348955036099
CHL,Chile,14.538785603288
COL,Colombia,15.08565428322672
CRI,Costa Rica,16.59480610260872
CZE,Czechia,18.907719107834918
DEU,Germany,19.53026585185098
DNK,Denmark,24.704963542614642
ESP,Spain,18.83547766607096
EST,Estonia,19.05508478118748
FIN,Finland,23.5428787098257
FRA,France,23.5238012786766
GBR,United Kingdom,18.87273406938606
GRC,Greece,20.29265752355332
HUN,Hungary,19.871728740321537
IRL,Ireland,12.02727185879484
ISL,Iceland,23.45980798670532
ISR,Israel,22.080918411404802
ITA,Italy,18.8089943047653
JPN,Japan,19.63911360860306
KOR,"Korea, Rep.",14.913090668104582
LTU,Lithuania,16.7022610370329
LUX,Luxembourg,16.3777599442837
LVA,Latvia,18.84007855189264
MEX,Mexico,11.41095880850376
NLD,Netherlands,24.18205280718514
NOR,Norway,23.6677767090937
NZL,New Zealand,18.3165763907564
POL,Poland,17.71627672566386
PRT,Portugal,17.336939565059442
SVK,Slovak Republic,18.84947667163092
SVN,Slovenia,18.748215039733378
SWE,Sweden,26.18718536306912
TUR,Turkiye,14.39361355453504
USA,United States,14.093417317769479
