iso3,country_name,life_exp
AUS,Australia,82.59951219512196
AUT,Austria,81.61268292682928
BEL,Belgium,81.5029268292683
CAN,Canada,81.91024390243903
CHE,Switzerland,83.54195121951223
CHL,Chile,80.3592
COL,Colombia,76.417
CRI,Costa Rica,80.155
CZE,Czechia,78.96829268292683
DEU,Germany,80.9619512195122
DNK,Denmark,81.01268292682929
ESP,Spain,83.34146341463415
EST,Estonia,78.04292682926832
FIN,Finland,81.65170731707317
FRA,France,82.59463414634148
GBR,United Kingdom,81.19870243902439
GRC,Greece,81.4278048780488
HUN,Hungary,75.9668292682927
IRL,Ireland,82.03414634146344
ISL,Iceland,82.67170731707316
ISR,Israel,82.52341463414635
ITA,Italy,83.11560975609758
JPN,Japan,84.08917073170731
KOR,"Korea, Rep.",82.55609756097562
LTU,Lithuania,75.28731707317077
LUX,Luxembourg,82.40146341463415
LVA,Latvia,74.77219512195123
MEX,Mexico,74.3798
NLD,Netherlands,81.75121951219512
NOR,Norway,82.6078048780488
NZL,New Zealand,81.77858536585367
POL,Poland,77.71268292682927
PRT,Portugal,81.3346341463415
SVK,Slovak Republic,77.16536585365854
SVN,Slovenia,81.17756097560975
SWE,Sweden,82.51804878048782
TUR,Turkiye,77.07239999999999
USA,United States,78.6390243902439
