iso3,country_name,pop_65
AUS,Australia,15.404783741065481
AUT,Austria,18.65489967314494
BEL,Belgium,18.588747632510938
CAN,Canada,16.76361129313112
CHE,Switzerland,18.21963024843944
CHL,Chile,11.79947133848748
COL,Colombia,7.650772991222899
CRI,Costa Rica,9.416312934551883
CZE,Czechia,19.05161761423152
DEU,Germany,21.31202901218356
DNK,Denmark,19.19670942401542
ESP,Spain,18.97721639937828
EST,Estonia,19.42284172106138
FIN,Finland,21.143097564483337
FRA,France,19.65132995023286
GBR,United Kingdom,18.09466090910842
GRC,Greece,21.63174487700318
HUN,Hungary,18.801232379608518
IRL,Ireland,13.67435226363474
ISL,Iceland,14.008781872466619
ISR,Israel,11.47169696815098
ITA,Italy,22.56143375276718
JPN,Japan,27.877368003606684
KOR,"Korea, Rep.",13.9418800480547
LTU,Lithuania,19.42972026652842
LUX,Luxembourg,14.3184730217707
LVA,Latvia,19.98318422941056
MEX,Mexico,6.9794447287941495
NLD,Netherlands,18.41743650212784
NOR,Norway,16.81070791599936
NZL,New Zealand,14.898942345969498
POL,Poland,16.46587273966402
PRT,Portugal,21.4824012804315
SVK,Slovak Republic,15.19947491136148
SVN,Slovenia,18.96898301389742
SWE,Sweden,19.81742587421048
TUR,Turkiye,8.003807971410529
USA,United States,14.96568969813176
