iso3,country_name,year,emp_ratio
AUS,Australia,2015,61.135
AUS,Australia,2016,61.242
AUS,Australia,2017,61.599
AUS,Australia,2018,62.232
AUS,Australia,2019,62.607
AUT,Austria,2015,56.73
AUT,Austria,2016,57.015
AUT,Austria,2017,57.292
AUT,Austria,2018,57.914
AUT,Austria,2019,58.121
BEL,Belgium,2015,48.842
BEL,Belgium,2016,49.001
BEL,Belgium,2017,49.555
BEL,Belgium,2018,50.48
BEL,Belgium,2019,51.005
CAN,Canada,2015,61.311
CAN,Canada,2016,61.018
CAN,Canada,2017,61.564
CAN,Canada,2018,61.721
CAN,Canada,2019,62.065
CHE,Switzerland,2015,64.942
CHE,Switzerland,2016,65.286
CHE,Switzerland,2017,65.25
CHE,Switzerland,2018,65.343
CHE,Switzerland,2019,65.321
CHL,Chile,2015,58.149
CHL,Chile,2016,58.007
CHL,Chile,2017,58.383
CHL,Chile,2018,58.389
CHL,Chile,2019,58.346
COL,Colombia,2015,61.275
COL,Colombia,2016,60.492
COL,Colombia,2017,60.015
COL,Colombia,2018,59.131
COL,Colombia,2019,57.71
CRI,Costa Rica,2015,57.523
CRI,Costa Rica,2016,54.861
CRI,Costa Rica,2017,55.222
CRI,Costa Rica,2018,56.605
CRI,Costa Rica,2019,57.318
CZE,Czechia,2015,56.375
CZE,Czechia,2016,57.457
CZE,Czechia,2017,58.336
CZE,Czechia,2018,59.017
CZE,Czechia,2019,58.906
DEU,Germany,2015,57.442
DEU,Germany,2016,57.932
DEU,Germany,2017,58.366
DEU,Germany,2018,58.8
DEU,Germany,2019,59.368
DNK,Denmark,2015,57.558
DNK,Denmark,2016,58.046
DNK,Denmark,2017,58.221
DNK,Denmark,2018,58.73
DNK,Denmark,2019,59.311
ESP,Spain,2015,45.693
ESP,Spain,2016,46.873
ESP,Spain,2017,48.049
ESP,Spain,2018,48.842
ESP,Spain,2019,49.499
EST,Estonia,2015,57.854
EST,Estonia,2016,58.328
EST,Estonia,2017,59.571
EST,Estonia,2018,60.062
EST,Estonia,2019,60.31
FIN,Finland,2015,53.253
FIN,Finland,2016,53.383
FIN,Finland,2017,53.598
FIN,Finland,2018,54.944
FIN,Finland,2019,55.222
FRA,France,2015,49.862
FRA,France,2016,49.828
FRA,France,2017,50.059
FRA,France,2018,50.313
FRA,France,2019,50.316
GBR,United Kingdom,2015,58.793
GBR,United Kingdom,2016,59.344
GBR,United Kingdom,2017,59.603
GBR,United Kingdom,2018,60.024
GBR,United Kingdom,2019,60.335
GRC,Greece,2015,38.41
GRC,Greece,2016,39.12
GRC,Greece,2017,40.096
GRC,Greece,2018,41.057
GRC,Greece,2019,42.187
HUN,Hungary,2015,52.374
HUN,Hungary,2016,54.35
HUN,Hungary,2017,55.411
HUN,Hungary,2018,56.175
HUN,Hungary,2019,56.505
IRL,Ireland,2015,55.658
IRL,Ireland,2016,56.917
IRL,Ireland,2017,57.764
IRL,Ireland,2018,58.575
IRL,Ireland,2019,59.227
ISL,Iceland,2015,73.51
ISL,Iceland,2016,75.001
ISL,Iceland,2017,74.672
ISL,Iceland,2018,73.812
