iso3,country_name,year,gdp_pc_ppp
AUS,Australia,2015,46452.3565772574
AUS,Australia,2016,47446.2103030951
AUS,Australia,2017,48564.8286592372
AUS,Australia,2018,50371.233830782
AUS,Australia,2019,52885.8313816377
AUT,Austria,2015,49562.5939257986
AUT,Austria,2016,52397.8635176674
AUT,Austria,2017,53869.8321183556
AUT,Austria,2018,56636.4953030542
AUT,Austria,2019,60354.9279422121
BEL,Belgium,2015,46084.2424551717
BEL,Belgium,2016,48414.5518065681
BEL,Belgium,2017,50256.0631772784
BEL,Belgium,2018,52466.7330784599
BEL,Belgium,2019,56712.469571978
CAN,Canada,2015,44669.4513631838
CAN,Canada,2016,46470.6466391109
CAN,Canada,2017,48317.3874457163
CAN,Canada,2018,49982.5999118346
CAN,Canada,2019,50498.9731057448
CHE,Switzerland,2015,65282.5841931923
CHE,Switzerland,2016,67350.7518747757
CHE,Switzerland,2017,68193.5055940262
CHE,Switzerland,2018,70688.8187491194
CHE,Switzerland,2019,73732.2353322093
CHL,Chile,2015,22457.8800614565
CHL,Chile,2016,23256.5036042211
CHL,Chile,2017,24295.223766602
CHL,Chile,2018,25305.0903462611
CHL,Chile,2019,25611.7578269458
COL,Colombia,2015,13332.0555048211
COL,Colombia,2016,14026.8399931053
COL,Colombia,2017,14400.6139849314
COL,Colombia,2018,15239.4049488277
COL,Colombia,2019,16181.5908990662
CRI,Costa Rica,2015,17525.1404625145
CRI,Costa Rica,2016,19201.7453233396
CRI,Costa Rica,2017,20499.3442130778
CRI,Costa Rica,2018,21498.0350746836
CRI,Costa Rica,2019,23339.6091317787
CZE,Czechia,2015,34102.176988058
CZE,Czechia,2016,36445.0485732064
CZE,Czechia,2017,39346.030564257
CZE,Czechia,2018,41638.1831076596
CZE,Czechia,2019,45614.0171132532
DEU,Germany,2015,48558.4432970969
DEU,Germany,2016,51569.9016841199
DEU,Germany,2017,54110.2536648812
DEU,Germany,2018,56273.0405627017
DEU,Germany,2019,59270.7276496985
DNK,Denmark,2015,48910.3324371901
DNK,Denmark,2016,51820.9521305491
DNK,Denmark,2017,55271.5976002659
DNK,Denmark,2018,57233.6231685618
DNK,Denmark,2019,60594.966400191
ESP,Spain,2015,35238.0691376424
ESP,Spain,2016,37612.7188681342
ESP,Spain,2017,39825.2498116292
ESP,Spain,2018,41015.1565755187
ESP,Spain,2019,44042.757577336
EST,Estonia,2015,29720.5911161676
EST,Estonia,2016,31947.7769107437
EST,Estonia,2017,34506.6486942506
EST,Estonia,2018,37120.9879761677
EST,Estonia,2019,40586.3784378888
FIN,Finland,2015,42269.2212218196
FIN,Finland,2016,44562.4011072067
FIN,Finland,2017,47234.8528600939
FIN,Finland,2018,49248.6775395866
FIN,Finland,2019,52276.1115723992
FRA,France,2015,40916.10535718
FRA,France,2016,42880.2351355431
FRA,France,2017,44469.1458856805
FRA,France,2018,46381.0590629457
FRA,France,2019,51130.4723140578
GBR,United Kingdom,2015,42526.7003586335
GBR,United Kingdom,2016,44085.2025586772
GBR,United Kingdom,2017,46113.0211677324
GBR,United Kingdom,2018,47212.2045190522
GBR,United Kingdom,2019,50064.9605582187
GRC,Greece,2015,26614.8483754225
GRC,Greece,2016,27504.5497984948
GRC,Greece,2017,28681.6815585005
GRC,Greece,2018,29792.0592519585
GRC,Greece,2019,31927.3792151369
HUN,Hungary,2015,26944.9597666868
HUN,Hungary,2016,28178.9450366919
HUN,Hungary,2017,29728.0121568801
HUN,Hungary,2018,32258.2577892511
HUN,Hungary,2019,35627.2315520858
IRL,Ireland,2015,71607.4568294649
IRL,Ireland,2016,73012.8198720374
IRL,Ireland,2017,80450.3529336506
IRL,Ireland,2018,86299.3420216976
IRL,Ireland,2019,92022.59879983
ISL,Iceland,2015,49214.2648614584
ISL,Iceland,2016,53480.3971946764
ISL,Iceland,2017,55638.4920591794
ISL,Iceland,2018,57197.7676247175
ISL,Iceland,2019,60523.8179440825
ISR,Israel,2015,35868.9736376014
ISR,Israel,2016,38189.1610278241
ISR,Israel,2017,39470.8681262164
ISR,Israel,2018,40189.9909957069
ISR,Israel,2019,41325.1783656756
ITA,Italy,2015,37394.4535005423
ITA,Italy,2016,40482.562999856
ITA,Italy,2017,42142.3435406885
ITA,Italy,2018,43386.7005868803
ITA,Italy,2019,46661.9105159611
JPN,Japan,2015,40906.594569246
JPN,Japan,2016,40596.9686628995
JPN,Japan,2017,41444.2157443912
JPN,Japan,2018,42141.9352987758
JPN,Japan,2019,42678.1511448354
KOR,"Korea, Rep.",2015,39799.5505724727
KOR,"Korea, Rep.",2016,41672.6278317077
KOR,"Korea, Rep.",2017,43155.9100867658
KOR,"Korea, Rep.",2018,45511.0803506331
KOR,"Korea, Rep.",2019,46511.2196957018
LTU,Lithuania,2015,28853.9978560937
LTU,Lithuania,2016,30772.6728449443
LTU,Lithuania,2017,33591.5554071488
LTU,Lithuania,2018,36491.9385223689
LTU,Lithuania,2019,40563.8304884555
LUX,Luxembourg,2015,107888.578352982
LUX,Luxembourg,2016,113365.176082265
LUX,Luxembourg,2017,114985.842235989
LUX,Luxembourg,2018,116638.414163882
LUX,Luxembourg,2019,121371.73990307
LVA,Latvia,2015,24137.87643586
LVA,Latvia,2016,25802.1555784173
LVA,Latvia,2017,27645.8226249652
LVA,Latvia,2018,29817.8047263182
LVA,Latvia,2019,32199.0960377091
MEX,Mexico,2015,19075.3384701377
MEX,Mexico,2016,20104.5839787472
MEX,Mexico,2017,20488.7150800441
MEX,Mexico,2018,20921.4775277572
MEX,Mexico,2019,20964.2774847072
NLD,Netherlands,2015,50970.348484391
NLD,Netherlands,2016,53162.2791598028
NLD,Netherlands,2017,56037.567993606
NLD,Netherlands,2018,58819.2609142584
NLD,Netherlands,2019,62345.2538465433
NOR,Norway,2015,60754.1816916377
NOR,Norway,2016,59280.1992028829
NOR,Norway,2017,64589.5559196863
NOR,Norway,2018,70253.8463693386
NOR,Norway,2019,70939.605518036
NZL,New Zealand,2015,37578.02761327
NZL,New Zealand,2016,39988.9250855472
NZL,New Zealand,2017,42243.5084459397
NZL,New Zealand,2018,42527.2784103301
NZL,New Zealand,2019,45278.4587226734
POL,Poland,2015,26995.3408713745
POL,Poland,2016,28359.6927346266
POL,Poland,2017,30170.2818974087
POL,Poland,2018,32345.1066076225
POL,Poland,2019,35882.3655065553
PRT,Portugal,2015,29615.9560854108
PRT,Portugal,2016,31589.2695609552
PRT,Portugal,2017,32970.8395386562
PRT,Portugal,2018,34896.7993382974
PRT,Portugal,2019,37865.5603564295
SVK,Slovak Republic,2015,30156.0270992722
SVK,Slovak Republic,2016,29867.9803390081
SVK,Slovak Republic,2017,30245.7825869756
SVK,Slovak Republic,2018,31509.8187291635
SVK,Slovak Republic,2019,33985.6758419661
SVN,Slovenia,2015,31344.6289743058
SVN,Slovenia,2016,33575.1775435757
SVN,Slovenia,2017,36180.0384547624
SVN,Slovenia,2018,38620.2045436305
SVN,Slovenia,2019,42373.2506369279
SWE,Sweden,2015,48785.1551864585
SWE,Sweden,2016,50289.7687144136
SWE,Sweden,2017,51474.1199115161
SWE,Sweden,2018,53122.438677218
SWE,Sweden,2019,57046.4463076951
TUR,Turkiye,2015,25896.983315375
TUR,Turkiye,2016,26730.7599731835
TUR,Turkiye,2017,28353.5406410966
TUR,Turkiye,2018,28640.3401839802
TUR,Turkiye,2019,29016.4555653445
USA,United States,2015,56849.4697923159
USA,United States,2016,57976.628204291
USA,United States,2017,60047.7190728307
USA,United States,2018,62875.6661382728
USA,United States,2019,65227.9565911035
