iso3,country_name,adopter,renew_2015_2021,imports_2015_2021
AUS,Australia,Late,10.357142857142858,-219.68072299632783
AUT,Austria,Early,34.75714285714286,63.73277926465638
BEL,Belgium,Late,10.457142857142856,89.95224577002723
CAN,Canada,Early,22.8,-75.33280399749265
CHE,Switzerland,Early,25.15714285714285,55.65419663627613
CHL,Chile,Early,25.071428571428573,68.3133729418752
COL,Colombia,Early,31.057142857142857,-201.76048639388677
CRI,Costa Rica,Early,34.68571428571429,54.86551131566892
CZE,Czechia,Late,15.55714285714286,37.02833038115156
DEU,Germany,Late,16.17142857142857,66.3256018359521
DNK,Denmark,Early,35.75714285714286,27.708794579858388
ESP,Spain,Early,17.157142857142855,78.9489621782994
EST,Estonia,Early,31.6,6.451678662620125
FIN,Finland,Early,45.3,44.88806951714298
FRA,France,Late,15.042857142857144,48.17011124713258
GBR,United Kingdom,Late,10.228571428571428,36.9123155925393
GRC,Greece,Late,18.32857142857143,83.9429978631418
HUN,Hungary,Late,14.685714285714283,58.70286906222343
IRL,Ireland,Late,11.1,77.77694475564324
ISR,Israel,Late,4.5285714285714285,61.47202887413234
ITA,Italy,Late,17.1,79.70745640197518
JPN,Japan,Late,7.4142857142857155,91.71509723342498
KOR,"Korea, Rep.",Late,3.1,87.02658084763426
LTU,Lithuania,Early,32.34285714285714,77.46500047048174
LUX,Luxembourg,Late,15.94285714285714,108.97397976844256
LVA,Latvia,Early,41.35714285714285,48.587722610696574
MEX,Mexico,Late,10.62857142857143,10.974531250890502
NLD,Netherlands,Late,8.1,68.32559165342387
NOR,Norway,Early,59.15714285714286,-640.6211711873219
NZL,New Zealand,Early,28.9,29.552341911306844
POL,Poland,Late,13.757142857142856,39.17697705356057
PRT,Portugal,Early,28.557142857142853,80.99870618398144
SVK,Slovak Republic,Late,14.914285714285716,59.248740623872415
SVN,Slovenia,Early,21.385714285714283,49.84604155377899
SWE,Sweden,Early,53.54285714285714,30.957319953991515
TUR,Turkiye,Early,12.785714285714286,75.48448205587763
USA,United States,Late,9.985714285714286,3.810997376234662
