iso3,country_name,adopter,renew_2015_2021,imports_2015_2021,inflation_2021_2023,cluster
AUS,Australia,Late,10.357142857142858,-219.68072299632783,5.018340686947167,2
AUT,Austria,Early,34.75714285714286,63.73277926465638,6.375890256193173,0
BEL,Belgium,Late,10.457142857142856,89.95224577002723,5.362257005435083,2
CAN,Canada,Early,22.8,-75.33280399749265,4.692331978858557,0
CHE,Switzerland,Early,25.15714285714285,55.65419663627613,1.8507476783660848,0
CHL,Chile,Early,25.071428571428573,68.3133729418752,7.916705869242353,0
COL,Colombia,Early,31.057142857142857,-201.7604863938868,8.46939780782666,0
CRI,Costa Rica,Early,34.68571428571429,54.86551131566892,3.508815320704135,0
CZE,Czechia,Late,15.55714285714286,37.02833038115156,9.867090066360388,2
DEU,Germany,Late,16.17142857142857,66.3256018359521,5.295225909811976,2
DNK,Denmark,Early,35.75714285714286,27.708794579858388,4.28493018372182,0
ESP,Spain,Early,17.157142857142855,78.9489621782994,5.005357598624934,2
EST,Estonia,Early,31.6,6.451678662620125,11.07021840879205,0
FIN,Finland,Early,45.3,44.88806951714298,5.189575092653907,0
FRA,France,Late,15.042857142857144,48.17011124713258,3.9143520530552034,2
GBR,United Kingdom,Late,10.228571428571428,36.9123155925393,5.744795665186927,2
GRC,Greece,Late,18.32857142857143,83.9429978631418,4.777962036046303,2
HUN,Hungary,Late,14.685714285714283,58.70286906222343,12.28135842031518,2
IRL,Ireland,Late,11.1,77.77694475564324,5.489741124334247,2
ISR,Israel,Late,4.5285714285714285,61.47202887413234,3.3721693445995,2
ITA,Italy,Late,17.1,79.70745640197518,5.232422530400333,2
JPN,Japan,Late,7.4142857142857155,91.71509723342498,1.844161220551972,2
KOR,"Korea, Rep.",Late,3.1,87.02658084763426,3.728434411417304,2
LTU,Lithuania,Early,32.34285714285714,77.46500047048174,11.168636661592894,0
LUX,Luxembourg,Late,15.94285714285714,108.97397976844256,4.20144392942407,2
LVA,Latvia,Early,41.35714285714285,48.587722610696574,9.84138620911981,0
MEX,Mexico,Late,10.62857142857143,10.974531250890502,6.371148513888973,2
NLD,Netherlands,Late,8.1,68.32559165342387,5.505107168943077,2
NOR,Norway,Early,59.15714285714286,-640.6211711873219,4.921951200745363,1
NZL,New Zealand,Early,28.9,29.552341911306844,5.615502732767086,0
POL,Poland,Late,13.757142857142856,39.17697705356057,10.337796866959671,2
PRT,Portugal,Early,28.557142857142853,80.99870618398144,4.469876784003463,0
SVK,Slovak Republic,Late,14.914285714285716,59.248740623872415,8.818566775831627,2
SVN,Slovenia,Early,21.385714285714283,49.84604155377899,6.065880367415164,2
SWE,Sweden,Early,53.54285714285714,30.957319953991515,6.360371083550814,0
TUR,Turkiye,Early,12.785714285714286,75.48448205587763,48.58824581326153,2
USA,United States,Late,9.985714285714286,3.810997376234662,5.60566568930117,2
