iso3,country_name,imports_2015_2021
AUS,Australia,-219.68072299632786
AUT,Austria,63.73277926465638
BEL,Belgium,89.95224577002723
CAN,Canada,-75.33280399749265
CHE,Switzerland,55.65419663627613
CHL,Chile,68.3133729418752
COL,Colombia,-201.76048639388674
CRI,Costa Rica,54.86551131566892
CZE,Czechia,37.028330381151555
DEU,Germany,66.3256018359521
DNK,Denmark,27.708794579858388
ESP,Spain,78.9489621782994
EST,Estonia,6.451678662620125
FIN,Finland,44.88806951714298
FRA,France,48.17011124713258
GBR,United Kingdom,36.9123155925393
GRC,Greece,83.9429978631418
HUN,Hungary,58.70286906222343
IRL,Ireland,77.77694475564324
ISR,Israel,61.47202887413234
ITA,Italy,79.70745640197518
JPN,Japan,91.71509723342498
KOR,"Korea, Rep.",87.02658084763426
LTU,Lithuania,77.46500047048174
LUX,Luxembourg,108.97397976844256
LVA,Latvia,48.587722610696574
MEX,Mexico,10.974531250890502
NLD,Netherlands,68.32559165342387
NOR,Norway,-640.6211711873219
NZL,New Zealand,29.552341911306844
POL,Poland,39.17697705356057
PRT,Portugal,80.99870618398144
SVK,Slovak Republic,59.248740623872415
SVN,Slovenia,49.84604155377899
SWE,Sweden,30.957319953991515
TUR,Turkiye,75.48448205587763
USA,United States,3.810997376234662
