iso3,country_name,renew_2005_2010,adopter
AUS,Australia,7.099999999999999,Late
AUT,Austria,28.683333333333334,Early
BEL,Belgium,3.983333333333333,Late
CAN,Canada,21.65,Early
CHE,Switzerland,19.383333333333336,Early
CHL,Chile,30.83333333333333,Early
COL,Colombia,30.55,Early
CRI,Costa Rica,41.18333333333334,Early
CZE,Czechia,8.966666666666667,Late
DEU,Germany,9.816666666666666,Late
DNK,Denmark,18.016666666666666,Early
ESP,Spain,10.183333333333334,Early
EST,Estonia,20.78333333333333,Early
FIN,Finland,32.5,Early
FRA,France,10.016666666666667,Late
GBR,United Kingdom,2.2333333333333334,Late
GRC,Greece,8.916666666666666,Late
HUN,Hungary,9.833333333333334,Late
IRL,Ireland,4.066666666666666,Late
ISL,Iceland,69.86666666666666,Early
ISR,Israel,7.766666666666667,Late
ITA,Italy,9.833333333333334,Late
JPN,Japan,4.383333333333334,Late
KOR,"Korea, Rep.",1.0666666666666669,Late
LTU,Lithuania,18.666666666666668,Early
LUX,Luxembourg,3.1666666666666665,Late
LVA,Latvia,34.766666666666666,Early
MEX,Mexico,9.666666666666666,Late
NLD,Netherlands,3.6166666666666663,Late
NOR,Norway,57.36666666666667,Early
NZL,New Zealand,27.46666666666667,Early
POL,Poland,8.0,Late
PRT,Portugal,23.23333333333333,Early
SVK,Slovak Republic,8.166666666666666,Late
SVN,Slovenia,18.616666666666667,Early
SWE,Sweden,42.46666666666667,Early
TUR,Turkiye,13.633333333333333,Early
USA,United States,6.666666666666667,Late
