iso3,country_name,year,renew_share
AUS,Australia,2000,8.4
AUS,Australia,2001,8.4
AUS,Australia,2002,8.7
AUS,Australia,2003,7.2
AUS,Australia,2004,6.7
AUS,Australia,2005,6.7
AUS,Australia,2006,6.8
AUS,Australia,2007,7.0
AUS,Australia,2008,6.8
AUS,Australia,2009,7.1
AUS,Australia,2010,8.2
AUS,Australia,2011,8.3
AUS,Australia,2012,8.3
AUS,Australia,2013,9.2
AUS,Australia,2014,9.3
AUS,Australia,2015,9.4
AUS,Australia,2016,9.6
AUS,Australia,2017,9.9
AUS,Australia,2018,9.8
AUS,Australia,2019,10.3
AUS,Australia,2020,11.2
AUS,Australia,2021,12.3
AUT,Austria,2000,26.4
AUT,Austria,2001,25.5
AUT,Austria,2002,24.7
AUT,Austria,2003,22.6
AUT,Austria,2004,23.2
AUT,Austria,2005,24.4
AUT,Austria,2006,26.6
AUT,Austria,2007,29.0
AUT,Austria,2008,29.7
AUT,Austria,2009,31.3
AUT,Austria,2010,31.1
AUT,Austria,2011,31.6
AUT,Austria,2012,34.4
AUT,Austria,2013,34.6
AUT,Austria,2014,35.7
AUT,Austria,2015,34.8
AUT,Austria,2016,34.6
AUT,Austria,2017,34.0
AUT,Austria,2018,34.1
AUT,Austria,2019,34.0
AUT,Austria,2020,35.8
AUT,Austria,2021,36.0
BEL,Belgium,2000,1.4
BEL,Belgium,2001,1.6
BEL,Belgium,2002,1.7
BEL,Belgium,2003,1.9
BEL,Belgium,2004,2.0
BEL,Belgium,2005,2.5
BEL,Belgium,2006,2.9
BEL,Belgium,2007,3.4
BEL,Belgium,2008,4.0
BEL,Belgium,2009,4.9
BEL,Belgium,2010,6.2
BEL,Belgium,2011,6.7
BEL,Belgium,2012,7.7
BEL,Belgium,2013,8.3
BEL,Belgium,2014,9.1
BEL,Belgium,2015,9.4
BEL,Belgium,2016,9.2
BEL,Belgium,2017,9.7
BEL,Belgium,2018,10.7
BEL,Belgium,2019,10.2
BEL,Belgium,2020,12.3
BEL,Belgium,2021,11.7
CAN,Canada,2000,20.3
CAN,Canada,2001,19.8
CAN,Canada,2002,20.1
CAN,Canada,2003,19.7
CAN,Canada,2004,20.4
CAN,Canada,2005,21.6
CAN,Canada,2006,21.5
CAN,Canada,2007,21.6
CAN,Canada,2008,21.6
CAN,Canada,2009,22.2
CAN,Canada,2010,21.4
CAN,Canada,2011,21.5
CAN,Canada,2012,21.8
CAN,Canada,2013,22.2
CAN,Canada,2014,22.2
CAN,Canada,2015,22.3
CAN,Canada,2016,22.1
CAN,Canada,2017,22.8
CAN,Canada,2018,22.3
CAN,Canada,2019,22.4
CAN,Canada,2020,23.9
CAN,Canada,2021,23.8
CHE,Switzerland,2000,18.2
CHE,Switzerland,2001,18.7
CHE,Switzerland,2002,18.2
CHE,Switzerland,2003,18.0
CHE,Switzerland,2004,18.1
CHE,Switzerland,2005,18.7
